typedef struct {
  double lambda;
  double pass;
} F184;
F184 16100.0 0.0001
F184 16150.0 0.0002
F184 16200.0 0.0004
F184 16250.0 0.001
F184 16300.0 0.0023
F184 16350.0 0.0047
F184 16400.0 0.0092
F184 16450.0 0.0169
F184 16500.0 0.0295
F184 16550.0 0.0486
F184 16600.0 0.0759
F184 16650.0 0.1124
F184 16700.0 0.1582
F184 16750.0 0.2121
F184 16800.0 0.2716
F184 16850.0 0.3334
F184 16900.0 0.3937
F184 16950.0 0.4491
F184 17000.0 0.497
F184 17050.0 0.5369
F184 17100.0 0.5682
F184 17150.0 0.5917
F184 17200.0 0.6087
F184 17250.0 0.6208
F184 17300.0 0.6294
F184 17350.0 0.6356
F184 17400.0 0.6401
F184 17450.0 0.6435
F184 17500.0 0.6458
F184 17550.0 0.6469
F184 17600.0 0.6473
F184 17650.0 0.6472
F184 17700.0 0.6467
F184 17750.0 0.6457
F184 17800.0 0.6444
F184 17850.0 0.6426
F184 17900.0 0.6406
F184 17950.0 0.6383
F184 18000.0 0.6357
F184 18050.0 0.6329
F184 18100.0 0.6298
F184 18150.0 0.6264
F184 18200.0 0.6228
F184 18250.0 0.6191
F184 18300.0 0.6155
F184 18350.0 0.6119
F184 18400.0 0.6085
F184 18450.0 0.6053
F184 18500.0 0.6025
F184 18550.0 0.6006
F184 18600.0 0.5991
F184 18650.0 0.5979
F184 18700.0 0.5969
F184 18750.0 0.596
F184 18800.0 0.5952
F184 18850.0 0.5943
F184 18900.0 0.5934
F184 18950.0 0.5923
F184 19000.0 0.591
F184 19050.0 0.5891
F184 19100.0 0.587
F184 19150.0 0.5847
F184 19200.0 0.5822
F184 19250.0 0.5795
F184 19300.0 0.5765
F184 19350.0 0.5731
F184 19400.0 0.569
F184 19450.0 0.564
F184 19500.0 0.5574
F184 19550.0 0.5495
F184 19600.0 0.5385
F184 19650.0 0.5235
F184 19700.0 0.5037
F184 19750.0 0.4781
F184 19800.0 0.4464
F184 19850.0 0.4088
F184 19900.0 0.3661
F184 19950.0 0.3197
F184 20000.0 0.2716
F184 20050.0 0.2241
F184 20100.0 0.1791
F184 20150.0 0.1384
F184 20200.0 0.1033
F184 20250.0 0.0742
F184 20300.0 0.0514
F184 20350.0 0.0342
F184 20400.0 0.0219
F184 20450.0 0.0134
F184 20500.0 0.0079
F184 20550.0 0.0045
F184 20600.0 0.0024
F184 20650.0 0.0013
F184 20700.0 0.0006
F184 20750.0 0.0003
F184 20800.0 0.0001
F184 20850.0 0.0001
